classifier,num_bands,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,train_time_mean,model_size_mb_mean,experiment,dataset,num_runs
knn,10,0.9037871790134859,0.006525222193121595,0.9504836739971516,0.00561173778753389,0.8927784728632225,0.007266112191246125,62.77632837295532,230.19,exp1,Salinas,5
knn,15,0.9034731202660262,0.004389772613044342,0.9483691690473324,0.0018837535769052997,0.8924129455632928,0.00489537973064575,62.77632837295532,230.19,exp1,Salinas,5
knn,20,0.9040827637169777,0.005061264341325566,0.9501907710313187,0.003329097954166715,0.8930799582198695,0.005627995882425991,62.77632837295532,230.19,exp1,Salinas,5
knn,25,0.9034915943099945,0.006544415408613886,0.9492996854816346,0.0036612718999584903,0.8924335722183866,0.007284100295399107,62.77632837295532,230.19,exp1,Salinas,5
knn,30,0.905172732311103,0.00673720294486546,0.9503258965327219,0.004153019854466178,0.8943053055825321,0.007510216106811653,62.77632837295532,230.19,exp1,Salinas,5
knn,35,0.9035285423979309,0.0073843043895318785,0.949330157222661,0.004304030076956597,0.8924717460316437,0.008213824457700185,62.77632837295532,230.19,exp1,Salinas,5
knn,40,0.9056900055422131,0.007190948940199082,0.9506505706491932,0.004048825528466054,0.8948784757865905,0.008011135050338382,62.77632837295532,230.19,exp1,Salinas,5
rf,10,0.9394790319600961,0.005362407507080111,0.9693679543683464,0.0027367542050970492,0.9325407470888386,0.005972643902768403,62.77632837295532,230.19,exp1,Salinas,5
rf,15,0.9449658230186587,0.003072195186089404,0.9722387864940852,0.0015936663877800976,0.9386571321050813,0.0034288555607980722,62.77632837295532,230.19,exp1,Salinas,5
rf,20,0.9477184555699243,0.002444758963211903,0.9738155006926199,0.0011997461156022203,0.9417251874608084,0.002722531240603515,62.77632837295532,230.19,exp1,Salinas,5
rf,25,0.9486052096803992,0.0014138981347368723,0.9741217957974797,0.0009472589180335309,0.9427135518281441,0.0015766584585800378,62.77632837295532,230.19,exp1,Salinas,5
rf,30,0.9488823203399225,0.0022987011719901806,0.9738643726766198,0.001112968436568316,0.9430180764892409,0.002563142889452669,62.77632837295532,230.19,exp1,Salinas,5
rf,35,0.9500646591538888,0.002507302801008488,0.9745429294576846,0.001337531767991389,0.944332303617224,0.002797858111407856,62.77632837295532,230.19,exp1,Salinas,5
rf,40,0.9502678736375392,0.0015298360160332185,0.9749930278131271,0.0007035284110470056,0.9445632062292735,0.0017039362787808323,62.77632837295532,230.19,exp1,Salinas,5
svc,10,0.9222796970256789,0.007207718747855226,0.9669813893150521,0.0030104702246292274,0.9135354328702864,0.007998691779433138,62.77632837295532,230.19,exp1,Salinas,5
svc,15,0.9322002586366155,0.002702519644989445,0.971401780152273,0.0019937600922141367,0.924539840885183,0.0030102372223276257,62.77632837295532,230.19,exp1,Salinas,5
svc,20,0.9342508775170885,0.0020061569901472713,0.9727036876634463,0.001519720272844463,0.9268115511715941,0.0022306736273179743,62.77632837295532,230.19,exp1,Salinas,5
svc,25,0.937336042859782,0.0021110182612426058,0.9743520136316197,0.001055305737954632,0.9302451921013624,0.0023479381153027105,62.77632837295532,230.19,exp1,Salinas,5
svc,30,0.9380195824866064,0.002448246495602917,0.9748298209756848,0.000942870078384015,0.9310062229088094,0.0027190861697343593,62.77632837295532,230.19,exp1,Salinas,5
svc,35,0.9402549418067615,0.0030090582701774813,0.9757588415284696,0.0010943305724664808,0.9334909419065035,0.0033428174206911678,62.77632837295532,230.19,exp1,Salinas,5
svc,40,0.9417328653242194,0.001989072097488933,0.9761876639483058,0.0006754268307750591,0.9351323717639473,0.0022078298576109654,62.77632837295532,230.19,exp1,Salinas,5
